Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/29/2021,AQS,60370002,1,0.055,ppm,51,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/30/2021,AQS,60370002,1,0.054,ppm,50,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/31/2021,AQS,60370002,1,0.055,ppm,51,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/1/2021,AQS,60370002,1,0.048,ppm,44,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/2/2021,AQS,60370002,1,0.061,ppm,71,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/3/2021,AQS,60370002,1,0.069,ppm,97,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/4/2021,AQS,60370002,1,0.072,ppm,105,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/5/2021,AQS,60370002,1,0.046,ppm,43,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/6/2021,AQS,60370002,1,0.05,ppm,46,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/7/2021,AQS,60370002,1,0.062,ppm,74,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/8/2021,AQS,60370002,1,0.053,ppm,49,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/9/2021,AQS,60370002,1,0.058,ppm,61,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/10/2021,AQS,60370002,1,0.068,ppm,93,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/11/2021,AQS,60370002,1,0.063,ppm,77,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/12/2021,AQS,60370002,1,0.051,ppm,47,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/13/2021,AQS,60370002,1,0.036,ppm,33,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/14/2021,AQS,60370002,1,0.048,ppm,44,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/15/2021,AQS,60370002,1,0.053,ppm,49,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/16/2021,AQS,60370002,1,0.056,ppm,54,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/17/2021,AQS,60370002,1,0.062,ppm,74,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/18/2021,AQS,60370002,1,0.056,ppm,54,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/19/2021,AQS,60370002,1,0.058,ppm,61,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/20/2021,AQS,60370002,1,0.051,ppm,47,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/21/2021,AQS,60370002,1,0.041,ppm,38,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/22/2021,AQS,60370002,1,0.036,ppm,33,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/23/2021,AQS,60370002,1,0.04,ppm,37,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/24/2021,AQS,60370002,1,0.047,ppm,44,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/25/2021,AQS,60370002,1,0.048,ppm,44,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/26/2021,AQS,60370002,1,0.041,ppm,38,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/27/2021,AQS,60370002,1,0.044,ppm,41,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/28/2021,AQS,60370002,1,0.049,ppm,45,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/29/2021,AQS,60370002,1,0.063,ppm,77,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
4/30/2021,AQS,60370002,1,0.069,ppm,97,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/1/2021,AQS,60370002,1,0.055,ppm,51,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/2/2021,AQS,60370002,1,0.041,ppm,38,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/3/2021,AQS,60370002,1,0.05,ppm,46,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/4/2021,AQS,60370002,1,0.066,ppm,87,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/5/2021,AQS,60370002,1,0.064,ppm,80,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/6/2021,AQS,60370002,1,0.053,ppm,49,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/7/2021,AQS,60370002,1,0.051,ppm,47,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/8/2021,AQS,60370002,1,0.059,ppm,64,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/9/2021,AQS,60370002,1,0.056,ppm,54,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/10/2021,AQS,60370002,1,0.044,ppm,41,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/11/2021,AQS,60370002,1,0.055,ppm,51,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/12/2021,AQS,60370002,1,0.062,ppm,74,Azusa,15,88,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/13/2021,AQS,60370002,1,0.052,ppm,48,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/14/2021,AQS,60370002,1,0.059,ppm,64,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/15/2021,AQS,60370002,1,0.048,ppm,44,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/16/2021,AQS,60370002,1,0.041,ppm,38,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/17/2021,AQS,60370002,1,0.035,ppm,32,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/18/2021,AQS,60370002,1,0.057,ppm,58,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/19/2021,AQS,60370002,1,0.053,ppm,49,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/20/2021,AQS,60370002,1,0.044,ppm,41,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/21/2021,AQS,60370002,1,0.047,ppm,44,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/22/2021,AQS,60370002,1,0.047,ppm,44,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/23/2021,AQS,60370002,1,0.052,ppm,48,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
5/24/2021,AQS,60370002,1,0.064,ppm,80,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
